coach_id,name,birthdate,nationality,role
1,Allison Hill,1966-04-27,Saint Pierre and Miquelon,Head Coach
2,Patrick Gardner,1977-09-15,Antigua and Barbuda,Head Coach
3,Daniel Wagner,1960-03-22,Congo,Head Coach
4,Meredith Barnes,1973-04-29,Fiji,Head Coach
5,Abigail Shaffer,1981-01-16,Guam,Head Coach
6,Daniel Gallagher,1962-07-27,Hong Kong,Head Coach
7,Ryan Munoz,1984-06-03,Saint Lucia,Head Coach
8,Calvin Nielsen,1961-11-04,French Polynesia,Head Coach
9,Lisa Hensley,1977-04-19,Romania,Head Coach
10,Matthew Mejia,1989-12-10,Timor-Leste,Head Coach
11,Brian Ramirez,1979-02-08,Haiti,Head Coach
12,Henry Santiago,1981-02-26,Pitcairn Islands,Head Coach
13,Lisa Jackson,1982-01-01,Central African Republic,Head Coach
14,Devin Schaefer,1980-09-25,Cyprus,Head Coach
15,Sarah Parsons,1966-07-02,Antigua and Barbuda,Head Coach
16,Jennifer Jones,1987-09-16,Montenegro,Head Coach
17,Emily Rios,1971-08-31,United States Virgin Islands,Head Coach
18,Brenda Taylor,1982-06-30,Mauritania,Head Coach
19,Kevin Hurst,1971-10-13,Cyprus,Head Coach
20,Brenda Snyder PhD,1986-02-04,Cape Verde,Head Coach
