player_id,name,birthdate,nationality,position,market_value,current_team_id,instagram_followers,engagement_rate,media_mentions,age
1,Allison Hill,1991-12-29,Burundi,Defender,91400476.29,9,9516702,8.83,2587,34
2,Megan Mcclain,1987-05-11,Nauru,Defender,65888427.86,9,6638601,8.9,3768,38
3,Allen Robinson,2001-08-05,Netherlands,Defender,27223136.48,19,4138722,7.58,4425,24
4,Cristian Santos,2002-12-10,Italy,Midfielder,74954367.35,2,7188926,9.03,3281,23
5,Kevin Pacheco,1984-08-14,Senegal,Midfielder,22712755.16,14,2321821,5.34,754,41
6,Melissa Peterson,1989-09-09,Cuba,Goalkeeper,86249188.06,11,2565251,6.46,3468,36
7,Gabrielle Davis,1987-09-09,Guinea-Bissau,Goalkeeper,39091963.86,1,9998348,9.96,4344,38
8,Lindsey Roman,2000-01-12,Mauritania,Midfielder,97136759.38,15,193619,6.96,948,25
9,Thomas Miller,1994-05-17,Switzerland,Midfielder,77091274.53,4,5708197,1.56,3571,31
10,Stacey Ward,1990-12-10,Romania,Defender,45918646.93,16,4419934,9.73,1473,35
11,Matthew Mejia,1987-02-11,Timor-Leste,Goalkeeper,87181338.41,15,5008072,8.5,4168,38
12,Brian Ramirez,2006-01-11,Syrian Arab Republic,Defender,16131087.59,3,2711343,5.62,4354,19
13,Jacob Clark,1993-06-25,Reunion,Goalkeeper,60295513.86,12,8198443,0.69,2983,32
14,Maria Lynch,1990-03-22,Martinique,Midfielder,24705778.72,12,4042154,8.84,655,35
15,Carla Gray,2006-03-05,Portugal,Goalkeeper,73458851.89,15,1162193,9.79,4373,19
16,Melinda Cameron,1986-04-21,Denmark,Defender,13710754.99,10,7974915,9.5,1362,39
17,Renee Morales,1986-08-26,Croatia,Midfielder,53239704.95,10,7100076,9.66,4427,39
18,Latoya Robbins,1991-08-20,Palau,Defender,71581948.31,19,6694979,9.95,3069,34
19,Dr. Marvin Thomas Jr.,2003-07-02,Mauritania,Forward,90061794.38,16,7575680,1.65,1850,22
20,Kevin Hurst,1997-12-27,Guyana,Goalkeeper,34470470.65,8,9871182,5.76,4830,28
21,Zachary Hicks,1987-06-29,Saudi Arabia,Defender,1711893.06,7,988737,2.67,267,38
22,Brian Burton,1998-10-06,Nepal,Midfielder,8014877.64,5,3994055,3.15,3986,27
23,James Ferrell,2002-05-27,El Salvador,Defender,54384159.21,7,9581513,5.97,2000,23
24,Shannon Smith,1988-04-18,Pitcairn Islands,Forward,80942202.78,20,3195548,1.4,3541,37
